Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2021-01-29,2021-01-30,3880,VERDE MEXI* VERDE MEXI,Dining,13.89,
2021-01-27,2021-01-28,3880,TARGET        00020800,Merchandise,8.15,
2021-01-25,2021-01-27,3880,CHICK-FIL-A #01890,Dining,8.65,
2021-01-26,2021-01-27,3880,TARGET        00020800,Merchandise,25.05,
2021-01-25,2021-01-26,3880,CAVA.COM,Dining,10.79,
2021-01-24,2021-01-25,3880,IKEA CHARLOTTE,Merchandise,53.61,
2021-01-23,2021-01-25,3880,CHIPOTLE 2939,Dining,8.93,
2021-01-23,2021-01-25,3880,REI #115 CHARLOTTE,Merchandise,35.28,
2021-01-23,2021-01-25,3880,TARGET        00020800,Merchandise,46.42,
2021-01-23,2021-01-25,3880,TARGET        00020800,Merchandise,461.16,
2021-01-19,2021-01-21,3880,CHICK-FIL-A #01890,Dining,10.15,
2021-01-20,2021-01-21,3880,TARGET        00020800,Merchandise,24.95,
2021-01-18,2021-01-19,3880,WM SUPERCENTER #5879,Merchandise,98.44,
2021-01-18,2021-01-19,3880,VERDE MEXI* VERDE MEXI,Dining,13.89,
2021-01-17,2021-01-18,3880,TARGET        00020800,Merchandise,41.37,
2021-01-16,2021-01-18,3880,MARATHON PETRO202895,Gas/Automotive,21.52,
2021-01-15,2021-01-16,3880,TARGET        00020800,Merchandise,17.07,
2021-01-14,2021-01-15,3880,VERDE MEXI* VERDE MEXI,Dining,13.56,
2021-01-14,2021-01-14,3880,STEAMGAMES.COM 4259522,Internet,42.89,
2021-01-14,2021-01-14,3880,STEAMGAMES.COM 4259522,Internet,64.34,
2021-01-13,2021-01-14,3880,TARGET        00020800,Merchandise,28.98,

