Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2021-02-26,2021-02-27,3880,HARRIS TEETER #0209,Merchandise,33.94,
2021-02-26,2021-02-27,3880,MARATHON PETRO202895,Gas/Automotive,19.94,
2021-02-25,2021-02-26,3880,FIVE GUYS NC 0211 QSR,Dining,11.89,
2021-02-25,2021-02-26,3880,TARGET        00020800,Merchandise,24.50,
2021-02-24,2021-02-25,3880,77 AMF 8003425263,Entertainment,35.00,
2021-02-22,2021-02-24,3880,CHICK-FIL-A #01890,Dining,10.15,
2021-02-23,2021-02-24,3880,VERDE MEXI* VERDE MEXI,Dining,13.89,
2021-02-22,2021-02-23,3880,HARRIS TEETER #0209,Merchandise,26.84,
2021-02-21,2021-02-22,3880,PUBLIX #1481,Merchandise,35.03,
2021-02-19,2021-02-22,3880,CHICK-FIL-A #01890,Dining,10.15,
2021-02-18,2021-02-19,3880,TARGET        00020800,Merchandise,18.30,
2021-02-18,2021-02-19,3880,Reverb.com,Merchandise,552.35,
2021-02-16,2021-02-17,3880,TARGET        00020800,Merchandise,50.71,
2021-02-15,2021-02-16,3880,STEAM PURCHASE,Internet,17.15,
2021-02-15,2021-02-16,3880,STEAM PURCHASE,Internet,12.86,
2021-02-14,2021-02-15,3880,HARRIS TEETER #0209,Merchandise,67.16,
2021-02-14,2021-02-15,3880,STEAMGAMES.COM 4259522,Internet,8.57,
2021-02-13,2021-02-13,3880,CAPITAL ONE ONLINE PYMT,Payment/Credit,,2012.06
2021-02-11,2021-02-12,3880,VERDE MEXI* VERDE MEXI,Dining,13.89,
2021-02-10,2021-02-12,3880,HOLIDAY INN EXPRESS DA,Lodging,248.34,
2021-02-11,2021-02-11,3880,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,166.84
2021-02-09,2021-02-10,3880,MES BURGERS N BREWS,Dining,17.77,
2021-02-08,2021-02-10,3880,CHICK-FIL-A #01631,Dining,10.18,
2021-02-06,2021-02-08,3880,PINKYS WES* PINKYS WES,Dining,13.82,
2021-02-06,2021-02-08,3880,HARRIS TEETER #0209,Merchandise,46.22,
2021-02-04,2021-02-06,3880,CHICK-FIL-A #01890,Dining,10.15,
2021-02-04,2021-02-05,3880,FIRESTONE784196,Gas/Automotive,630.21,
2021-02-04,2021-02-05,3880,TARGET        00020800,Merchandise,47.54,
2021-02-02,2021-02-05,3880,YOSHI S GRILL,Dining,15.90,
2021-02-03,2021-02-04,3880,FIVE GUYS NC 0211 QSR,Dining,9.30,
2021-02-03,2021-02-04,3880,MARATHON PETRO202895,Gas/Automotive,23.83,
2021-02-01,2021-02-03,3880,CHICK-FIL-A #01890,Dining,9.62,
2021-02-02,2021-02-03,3880,TARGET        00020800,Merchandise,9.98,
2021-02-01,2021-02-03,3880,SBARRO 962         Q01,Dining,4.86,
2021-02-02,2021-02-02,3880,GOOGLE *inmeteo,Internet,3.20,
2021-01-31,2021-02-01,3880,TONYS PIZZA HUNTERSVIL,Dining,15.00,

