Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2021-05-29,2021-05-31,3880,DNCR AQUARIUM FF POS,Entertainment,14.86,
2021-05-28,2021-05-31,3880,7-ELEVEN 38677,Gas/Automotive,25.56,
2021-05-28,2021-05-31,3880,7-ELEVEN 38677,Gas/Automotive,3.00,
2021-05-28,2021-05-31,3880,HAVANAS,Dining,35.00,
2021-05-29,2021-05-31,3880,TARGET        00020800,Merchandise,46.93,
2021-05-29,2021-05-31,3880,PUBLIX #1677,Merchandise,11.72,
2021-05-28,2021-05-29,3880,JERSEY MIKES 3134,Dining,11.03,
2021-05-27,2021-05-28,3880,FIVE GUYS NC 0211 QSR,Dining,9.30,
2021-05-27,2021-05-28,3880,TONYS PIZZA HUNTERSVIL,Dining,9.00,
2021-05-26,2021-05-28,3880,CHICK-FIL-A #01890,Dining,12.03,
2021-05-26,2021-05-28,3880,ONLYFANS,Other,8.57,
2021-05-25,2021-05-26,3880,TARGET        00020800,Merchandise,57.09,
2021-05-25,2021-05-25,3880,TCKTWEB*TIMDILLON,Entertainment,36.39,
2021-05-23,2021-05-24,3880,TARGET        00020800,Merchandise,47.55,
2021-05-21,2021-05-24,3880,CHICK-FIL-A #01890,Dining,14.22,
2021-05-22,2021-05-24,3880,DOMINO'S 7436,Dining,14.00,
2021-05-22,2021-05-24,3880,7-ELEVEN 38677,Gas/Automotive,5.77,
2021-05-21,2021-05-21,3880,CREDIT-CASH BACK REWARD,Payment/Credit,,31.17
2021-05-21,2021-05-21,3880,CAPITAL ONE MOBILE PYMT,Payment/Credit,,1000.00
2021-05-19,2021-05-20,3880,TARGET        00020800,Merchandise,25.29,
2021-05-19,2021-05-20,3880,YOSHI S GRILL,Dining,18.81,
2021-05-17,2021-05-18,3880,HARRIS TEETER #0209,Merchandise,57.51,
2021-05-17,2021-05-18,3880,TST* VERDE,Dining,21.00,
2021-05-17,2021-05-18,3880,AMAZON.COM*2L2NN22N2 A,Merchandise,62.64,
2021-05-17,2021-05-18,3880,TONYS PIZZA HUNTERSVIL,Dining,9.00,
2021-05-17,2021-05-18,3880,G2GCHARGE.COM,Other Services,5.50,
2021-05-17,2021-05-18,3880,34TH DISTRICT COURT,Other,180.00,
2021-05-18,2021-05-18,3880,REI.COM,Merchandise,193.06,
2021-05-16,2021-05-17,3880,CHIPOTLE 2939,Dining,12.74,
2021-05-14,2021-05-15,3880,TARGET        00020800,Merchandise,54.63,
2021-05-13,2021-05-15,3880,FAS MART 103,Gas/Automotive,28.60,
2021-05-13,2021-05-15,3880,HOLIDAY INN EXPRESS DA,Lodging,407.37,
2021-05-13,2021-05-14,3880,ISABEL'S,Dining,9.71,
2021-05-13,2021-05-13,3880,MOON RIVER THAI,Dining,15.24,
2021-05-12,2021-05-13,3880,SQ *MUCHO TAQUERIA,Dining,28.00,
2021-05-11,2021-05-12,3880,MES BURGERS N BREWS,Dining,7.92,
2021-05-11,2021-05-12,3880,MES BURGERS N BREWS,Dining,26.83,
2021-05-10,2021-05-12,3880,HOLIDAY INN EXPRESS DA,Lodging,8.55,
2021-05-11,2021-05-11,3880,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,1340.24
2021-05-10,2021-05-11,3880,SONNYSBBQMOORESVILLE,Dining,16.00,
2021-05-08,2021-05-10,3880,CHICK-FIL-A #01890,Dining,10.59,
2021-05-08,2021-05-10,3880,7-ELEVEN 38677,Gas/Automotive,27.21,
2021-05-08,2021-05-10,3880,FREETAXUSACOM,Professional Services,14.99,
2021-05-06,2021-05-07,3880,VERDE MEXI* VERDE MEXI,Dining,13.89,
2021-05-06,2021-05-07,3880,TARGET        00020800,Merchandise,60.14,
2021-05-06,2021-05-07,3880,ENTERPRISE RENT-A-CAR,Car Rental,198.57,
2021-05-06,2021-05-07,3880,PITT STOP CITGO,Gas/Automotive,22.20,
2021-05-05,2021-05-07,3880,HOLIDAY INN EXPRESS,Lodging,137.94,
2021-05-05,2021-05-07,3880,SHELL OIL 12665131004,Gas/Automotive,32.46,
2021-05-05,2021-05-06,3880,EXXONMOBIL    48282404,Gas/Automotive,27.50,
2021-05-04,2021-05-06,3880,THE HOME DEPOT #2737,Merchandise,13.74,
2021-05-05,2021-05-06,3880,Subway 11185,Dining,5.30,
2021-05-03,2021-05-05,3880,EXXONMOBIL    97322077,Gas/Automotive,15.35,
2021-05-04,2021-05-05,3880,Chopped Olive Modern M,Dining,13.92,
2021-05-03,2021-05-05,3880,SBARROS 4WV38,Dining,4.65,
2021-05-03,2021-05-05,3880,MEIJER # 122,Merchandise,14.87,
2021-05-03,2021-05-04,3880,EXXONMOBIL    42114058,Gas/Automotive,37.10,
2021-05-03,2021-05-04,3880,STEAM PURCHASE,Internet,3.74,
2021-05-02,2021-05-03,3880,TARGET        00020800,Merchandise,25.74,
2021-05-01,2021-05-03,3880,TONYS PIZZA HUNTERSVIL,Dining,12.00,
2021-05-01,2021-05-03,3880,WAL-MART #5879,Merchandise,19.62,
2021-04-30,2021-05-01,3880,WM SUPERCENTER #5879,Merchandise,62.98,
2021-04-29,2021-05-01,3880,SHOWMARS -0K239,Dining,11.89,

