Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2021-06-28,2021-06-30,3880,STARBUCKS STORE 53000,Dining,8.20,
2021-06-28,2021-06-29,3880,LA TONALTECA - DUPONT,Dining,32.00,
2021-06-27,2021-06-28,3880,TARGET        00020800,Merchandise,10.71,
2021-06-25,2021-06-26,3880,CHIPOTLE 2939,Dining,9.74,
2021-06-25,2021-06-26,3880,HARRIS TEETER #0209,Merchandise,33.17,
2021-06-23,2021-06-24,3880,TST* VERDE,Dining,20.00,
2021-06-22,2021-06-24,3880,CHICK-FIL-A #01890,Dining,10.59,
2021-06-23,2021-06-24,3880,TARGET        00020800,Merchandise,15.08,
2021-06-21,2021-06-22,3880,FIVE GUYS NC 0211 QSR,Dining,9.62,
2021-06-21,2021-06-22,3880,AMZN Mktp US*218PZ3TT2,Merchandise,46.18,
2021-06-21,2021-06-22,3880,TARGET        00020800,Merchandise,29.37,
2021-06-21,2021-06-21,3880,CREDIT-CASH BACK REWARD,Payment/Credit,,24.80
2021-06-20,2021-06-21,3880,FIRESTONE784196,Gas/Automotive,30.01,
2021-06-18,2021-06-21,3880,JERSEY MIKES 6075,Dining,15.39,
2021-06-18,2021-06-21,3880,FAS MART 103,Gas/Automotive,27.30,
2021-06-19,2021-06-21,3880,HARRIS TEETER #0209,Merchandise,45.89,
2021-06-18,2021-06-19,3880,HAMPTON INNS,Lodging,602.24,
2021-06-18,2021-06-19,3880,MCDONALD'S F11873,Dining,2.23,
2021-06-17,2021-06-19,3880,BWW 3284 DANVILLE,Dining,21.00,
2021-06-16,2021-06-18,3880,LOS TRES MAGUEYES,Dining,23.00,
2021-06-17,2021-06-17,3880,MOON RIVER THAI,Dining,12.00,
2021-06-16,2021-06-17,3880,FOOD LION #1252,Merchandise,8.71,
2021-06-15,2021-06-16,3880,MES BURGERS N BREWS,Dining,33.55,
2021-06-14,2021-06-16,3880,CHICK-FIL-A #01631,Dining,9.37,
2021-06-14,2021-06-16,3880,7-ELEVEN 38677,Gas/Automotive,19.49,
2021-06-14,2021-06-15,3880,HARRIS TEETER #0209,Merchandise,8.78,
2021-06-14,2021-06-15,3880,USA*VEND AT AIR SERV,Merchandise,2.00,
2021-06-13,2021-06-14,3880,TARGET        00020800,Merchandise,21.37,
2021-06-12,2021-06-14,3880,CHIPOTLE 2939,Dining,9.74,
2021-06-11,2021-06-12,3880,FIREHOUSE SUBS 0447 QS,Dining,9.00,
2021-06-11,2021-06-12,3880,TARGET        00020800,Merchandise,22.52,
2021-06-11,2021-06-11,3880,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,668.38
2021-06-10,2021-06-11,3880,SQ *SABOR LATIN STREET,Dining,12.39,
2021-06-09,2021-06-10,3880,FIVE GUYS NC 0211 QSR,Dining,12.10,
2021-06-09,2021-06-10,3880,TARGET        00020800,Merchandise,32.21,
2021-06-08,2021-06-10,3880,PNC ARENA FOOD SERVICE,Entertainment,5.75,
2021-06-08,2021-06-09,3880,BP#2303030GARRETT FQPS,Gas/Automotive,28.75,
2021-06-07,2021-06-09,3880,CHICK-FIL-A #01890,Dining,10.59,
2021-06-07,2021-06-08,3880,PUBLIX #1481,Merchandise,18.13,
2021-06-06,2021-06-08,3880,SHELL OIL 206414750QPS,Gas/Automotive,31.71,
2021-06-06,2021-06-07,3880,TONYS PIZZA HUNTERSVIL,Dining,9.00,
2021-06-04,2021-06-07,3880,CHICK-FIL-A #01890,Dining,10.59,
2021-06-05,2021-06-07,3880,TM *CAROLINA HURRICANE,Entertainment,103.30,
2021-06-06,2021-06-07,3880,Reverb.com,Merchandise,12.43,
2021-06-03,2021-06-07,3880,YOSHI S GRILL,Dining,13.00,
2021-06-04,2021-06-05,3880,HARRIS TEETER #0209,Merchandise,58.47,
2021-06-03,2021-06-03,3880,TST* VERDE,Dining,14.50,
2021-06-02,2021-06-03,3880,MARATHON PETRO202895,Gas/Automotive,11.22,
2021-06-01,2021-06-02,3880,TARGET        00020800,Merchandise,17.88,
2021-05-31,2021-06-01,3880,SPORT CLIPS - NC111 -,Other Services,27.00,
2021-05-31,2021-06-01,3880,CHIPOTLE 2939,Dining,9.31,

