Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2021-03-29,2021-03-31,3880,EL VALLARTA,Dining,30.00,
2021-03-29,2021-03-31,3880,SHEETZ 621    00006213,Gas/Automotive,5.81,
2021-03-29,2021-03-31,3880,SHEETZ 621    00006213,Gas/Automotive,2.03,
2021-03-28,2021-03-30,3880,MVBILLING.COM,Other,13.93,
2021-03-28,2021-03-29,3880,TARGET        00020800,Merchandise,5.67,
2021-03-26,2021-03-29,3880,CITY BARBEQUE HUNTERS,Dining,10.80,
2021-03-26,2021-03-27,3880,HARRIS TEETER #0209,Merchandise,22.57,
2021-03-25,2021-03-27,3880,CHICK-FIL-A #01890,Dining,10.15,
2021-03-25,2021-03-27,3880,AGENT FEE 89008000681213,Airfare,5.00,
2021-03-25,2021-03-26,3880,TARGET        00020800,Merchandise,20.29,
2021-03-23,2021-03-24,3880,5GUYS 0500 QSR,Dining,17.73,
2021-03-24,2021-03-24,3880,CAPITAL ONE MOBILE PYMT,Payment/Credit,,913.27
2021-03-22,2021-03-23,3880,HARRIS TEETER #0209,Merchandise,23.74,
2021-03-22,2021-03-23,3880,PANERA BREAD #601050 P,Dining,12.14,
2021-03-22,2021-03-23,3880,TARGET        00020800,Merchandise,9.64,
2021-03-21,2021-03-22,3880,SUNOCO 0010486900  QPS,Gas/Automotive,16.39,
2021-03-21,2021-03-22,3880,CHIPOTLE 2939,Dining,8.93,
2021-03-20,2021-03-22,3880,TARGET        00020800,Merchandise,43.91,
2021-03-19,2021-03-20,3880,TONYS PIZZA HUNTERSVIL,Dining,12.00,
2021-03-18,2021-03-20,3880,CHICK-FIL-A #01890,Dining,13.56,
2021-03-18,2021-03-19,3880,TARGET        00020800,Merchandise,9.64,
2021-03-17,2021-03-18,3880,TARGET        00020800,Merchandise,13.11,
2021-03-16,2021-03-17,3880,VERDE MEXI* VERDE MEXI,Dining,27.78,
2021-03-14,2021-03-15,3880,HARRIS TEETER #0209,Merchandise,69.58,
2021-03-12,2021-03-13,3880,TARGET        00020800,Merchandise,26.46,
2021-03-11,2021-03-13,3880,7-ELEVEN 38677,Gas/Automotive,10.35,
2021-03-11,2021-03-13,3880,7-ELEVEN 38677,Gas/Automotive,6.44,
2021-03-11,2021-03-13,3880,FAS MART 103,Gas/Automotive,25.49,
2021-03-12,2021-03-13,3880,COURTYARD BY MARRIOTT,Lodging,495.45,
2021-03-11,2021-03-12,3880,ISABEL'S,Dining,6.42,
2021-03-11,2021-03-12,3880,SQ *MUCHO TAQUERIA,Dining,24.82,
2021-03-10,2021-03-12,3880,Great Wall at Danville,Dining,10.00,
2021-03-10,2021-03-12,3880,EL VALLARTA,Dining,24.00,
2021-03-09,2021-03-10,3880,MES BURGERS N BREWS,Dining,21.11,
2021-03-08,2021-03-10,3880,MARATHON PETRO202895,Gas/Automotive,19.97,
2021-03-08,2021-03-10,3880,AGENT FEE 89007998330370,Airfare,5.00,
2021-03-08,2021-03-09,3880,SPORT CLIPS - NC111 -,Other Services,27.00,
2021-03-08,2021-03-09,3880,HARRIS TEETER #0209,Merchandise,13.98,
2021-03-07,2021-03-09,3880,PERSIS BIRYANI INDIAN,Dining,23.35,
2021-03-06,2021-03-08,3880,TARGET        00020800,Merchandise,53.92,
2021-03-05,2021-03-06,3880,TONYS PIZZA HUNTERSVIL,Dining,12.00,
2021-03-04,2021-03-06,3880,CHICK-FIL-A #01890,Dining,10.15,
2021-03-05,2021-03-05,3880,CAPITAL ONE ONLINE PYMT,Payment/Credit,,975.09
2021-03-03,2021-03-04,3880,TARGET        00020800,Merchandise,21.26,
2021-03-02,2021-03-03,3880,VERDE MEXI* VERDE MEXI,Dining,13.89,
2021-03-01,2021-03-02,3880,TARGET        00020800,Merchandise,16.77,
2021-02-28,2021-03-01,3880,CREDIT-CASH BACK REWARD,Payment/Credit,,46.92
2021-02-27,2021-03-01,3880,TARGET        00020800,Merchandise,21.66,

