Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2021-08-29,2021-08-31,3880,SHOWMARS -0K239,Dining,7.57,
2021-08-27,2021-08-30,3880,7-ELEVEN 38677,Gas/Automotive,29.73,
2021-08-27,2021-08-28,3880,KUNG POA EXPRESS INC,Dining,7.50,
2021-08-27,2021-08-28,3880,TARGET        00020800,Merchandise,45.43,
2021-08-26,2021-08-27,3880,TST* VERDE,Dining,14.29,
2021-08-25,2021-08-27,3880,HOLIDAY INN EXPRESS RI,Lodging,259.88,
2021-08-23,2021-08-25,3880,CRUTCHFIELD,Merchandise,91.12,
2021-08-23,2021-08-25,3880,CHICK-FIL-A #01890,Dining,5.29,
2021-08-24,2021-08-24,3880,TST* CAH - INNSBROOK,Dining,27.72,
2021-08-23,2021-08-24,3880,BURGER BACH,Dining,36.90,
2021-08-23,2021-08-24,3880,NC BLUMENTHAL PERF ART,Entertainment,68.59,
2021-08-22,2021-08-23,3880,CAPITAL ONE MOBILE PYMT,Payment/Credit,,3837.75
2021-08-22,2021-08-23,3880,TONYS PIZZA HUNTERSVIL,Dining,9.00,
2021-08-21,2021-08-23,3880,AAA CAROLINAS,Gas/Automotive,94.00,
2021-08-21,2021-08-23,3880,PANERA BREAD #601050 P,Dining,11.38,
2021-08-20,2021-08-23,3880,CRUTCHFIELD,Merchandise,142.57,
2021-08-20,2021-08-21,3880,PUBLIX #1481,Merchandise,31.84,
2021-08-18,2021-08-21,3880,YOSHI S GRILL,Dining,14.00,
2021-08-19,2021-08-20,3880,FIVE GUYS NC 0211 QSR,Dining,12.21,
2021-08-19,2021-08-19,3880,OnlyFans,Other,8.57,
2021-08-17,2021-08-18,3880,HARRIS TEETER #0209,Merchandise,5.38,
2021-08-18,2021-08-18,3880,CRAIGSLIST.ORG,Other,5.00,
2021-08-16,2021-08-17,3880,FIVE GUYS NC 0211 QSR,Dining,9.62,
2021-08-16,2021-08-17,3880,HARRIS TEETER #0209,Merchandise,47.75,
2021-08-15,2021-08-17,3880,7-ELEVEN 38677,Gas/Automotive,12.53,
2021-08-15,2021-08-16,3880,TARGET        00020800,Merchandise,5.08,
2021-08-14,2021-08-16,3880,CHIPOTLE 2939,Dining,12.45,
2021-08-15,2021-08-16,3880,LOWES #02352*,Merchandise,9.61,
2021-08-15,2021-08-16,3880,TARGET        00020800,Merchandise,4.06,
2021-08-13,2021-08-16,3880,HOLIDAY INN EXPRESS DA,Lodging,162.89,
2021-08-14,2021-08-16,3880,7-ELEVEN 38677,Gas/Automotive,4.47,
2021-08-13,2021-08-16,3880,FAS MART 103,Gas/Automotive,17.32,
2021-08-14,2021-08-14,3880,CREDIT-CASH BACK REWARD,Payment/Credit,,36.32
2021-08-13,2021-08-14,3880,BP#8187650TIMES TA QPS,Gas/Automotive,10.61,
2021-08-13,2021-08-14,3880,ISABEL'S,Dining,7.00,
2021-08-13,2021-08-14,3880,TARGET        00020800,Merchandise,37.09,
2021-08-13,2021-08-14,3880,ENTERPRISE RENT-A-CAR,Car Rental,169.04,
2021-08-12,2021-08-14,3880,HOLIDAY INN EXPRESS DA,Lodging,407.37,
2021-08-11,2021-08-13,3880,LOS TRES MAGUEYES,Dining,22.71,
2021-08-12,2021-08-13,3880,MES BURGERS N BREWS,Dining,33.14,
2021-08-12,2021-08-13,3880,ISABEL'S,Dining,9.55,
2021-08-12,2021-08-13,3880,SQ *BISCUITVILLE 150,Dining,4.68,
2021-08-12,2021-08-12,3880,MOON RIVER THAI,Dining,13.00,
2021-08-10,2021-08-12,3880,KICKBACK JACKS #36,Dining,29.00,
2021-08-09,2021-08-11,3880,CHICK-FIL-A #01631,Dining,10.65,
2021-08-09,2021-08-11,3880,SHEETZ 0306   00003061,Gas/Automotive,6.30,
2021-08-09,2021-08-10,3880,Amazon.com*2P7RR2IR0,Merchandise,42.90,
2021-08-07,2021-08-10,3880,AVENUE RESIDENTIAL CON,Gas/Automotive,11.00,
2021-08-09,2021-08-09,3880,AMZN Mktp US*2P2ZS5UJ0,Merchandise,54.94,
2021-08-08,2021-08-09,3880,TARGET        00020800,Merchandise,8.62,
2021-08-08,2021-08-09,3880,COURSRARO08R9HN9SRV2O,Other,52.55,
2021-08-05,2021-08-07,3880,7-ELEVEN 38677,Gas/Automotive,17.20,
2021-08-06,2021-08-07,3880,AMZN Mktp US*2P1BO3PV2,Merchandise,100.71,
2021-08-05,2021-08-06,3880,FIREHOUSE SUBS 0447 QS,Dining,9.00,
2021-08-05,2021-08-06,3880,HARRIS TEETER #0209,Merchandise,53.26,
2021-08-04,2021-08-06,3880,7-ELEVEN 38677,Gas/Automotive,38.99,
2021-08-05,2021-08-05,3880,CAPITAL ONE MOBILE PYMT,Payment/Credit,,2500.00
2021-08-04,2021-08-05,3880,UBER   TRIP,Other Travel,8.50,
2021-08-04,2021-08-05,3880,AUTO SPECIALTIES,Gas/Automotive,1103.84,
2021-08-02,2021-08-04,3880,CITY BARBEQUE HUNTERS,Dining,9.73,
2021-08-03,2021-08-04,3880,TARGET        00020800,Merchandise,34.56,
2021-08-02,2021-08-03,3880,AMZN Mktp US*2P2BS35M1,Merchandise,60.99,
2021-08-01,2021-08-02,3880,ADVANCE AUTO PARTS #62,Gas/Automotive,72.65,
2021-07-31,2021-08-02,3880,CHICK-FIL-A #01890,Dining,12.85,
2021-08-01,2021-08-02,3880,TARGET        00020800,Merchandise,20.07,

