Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2021-04-28,2021-04-30,3880,CHICK-FIL-A #01890,Dining,10.59,
2021-04-29,2021-04-30,3880,TARGET        00020800,Merchandise,18.40,
2021-04-28,2021-04-29,3880,FIVE GUYS NC 0211 QSR,Dining,9.30,
2021-04-27,2021-04-28,3880,CHIPOTLE 2939,Dining,9.31,
2021-04-27,2021-04-28,3880,TARGET        00020800,Merchandise,23.51,
2021-04-26,2021-04-27,3880,AMZN Mktp US*U22SP9CD3,Merchandise,74.64,
2021-04-23,2021-04-24,3880,SP * RICK BEATO,Internet,27.99,
2021-04-23,2021-04-24,3880,COURTYARD BY MARRIOTT,Lodging,330.30,
2021-04-23,2021-04-24,3880,TARGET        00020800,Merchandise,27.64,
2021-04-22,2021-04-23,3880,HARRIS TEETER #0209,Merchandise,67.61,
2021-04-23,2021-04-23,3880,CAPITAL ONE ONLINE PYMT,Payment/Credit,,1705.86
2021-04-21,2021-04-23,3880,SHOWMARS -0K239,Dining,7.35,
2021-04-20,2021-04-22,3880,FAS MART 103,Gas/Automotive,15.54,
2021-04-20,2021-04-21,3880,PUBLIX #1481,Merchandise,28.13,
2021-04-20,2021-04-21,3880,VERDE MEXI* VERDE MEXI,Dining,13.89,
2021-04-20,2021-04-21,3880,ISABEL'S,Dining,7.42,
2021-04-19,2021-04-21,3880,KICKBACK JACKS #36,Dining,41.00,
2021-04-19,2021-04-21,3880,AGENT FEE 89008004012406,Airfare,5.00,
2021-04-18,2021-04-20,3880,7-ELEVEN 38677,Gas/Automotive,30.17,
2021-04-18,2021-04-19,3880,JERSEY MIKES 3134,Dining,12.34,
2021-04-16,2021-04-17,3880,TARGET        00020800,Merchandise,57.63,
2021-04-14,2021-04-14,3880,CREDIT-CASH BACK REWARD,Payment/Credit,,36.57
2021-04-13,2021-04-14,3880,HARRIS TEETER #0209,Merchandise,57.79,
2021-04-12,2021-04-14,3880,CHICK-FIL-A #01890,Dining,10.15,
2021-04-13,2021-04-14,3880,THE UPS STORE #6627,Other Services,12.77,
2021-04-11,2021-04-12,3880,HARRIS TEETER #0209,Merchandise,10.27,
2021-04-11,2021-04-12,3880,REI.COM,Merchandise,82.37,
2021-04-11,2021-04-12,3880,REI.COM,Merchandise,2.90,
2021-04-11,2021-04-12,3880,TARGET        00020800,Merchandise,26.59,
2021-04-09,2021-04-12,3880,YOSHI S GRILL,Dining,16.00,
2021-04-09,2021-04-10,3880,TARGET        00020800,Merchandise,30.81,
2021-04-08,2021-04-09,3880,TONYS PIZZA HUNTERSVIL,Dining,34.00,
2021-04-07,2021-04-08,3880,HARRIS TEETER #0209,Merchandise,8.19,
2021-04-06,2021-04-08,3880,CHICK-FIL-A #01890,Dining,10.15,
2021-04-07,2021-04-08,3880,Reverb.com,Merchandise,139.44,
2021-04-05,2021-04-06,3880,TST* VERDE,Dining,15.00,
2021-04-05,2021-04-06,3880,TARGET        00020800,Merchandise,17.79,
2021-04-03,2021-04-05,3880,PUBLIX #1481,Merchandise,42.11,
2021-04-03,2021-04-05,3880,PERSIS BIRYANI INDIAN,Dining,23.35,
2021-04-04,2021-04-05,3880,AMZN Mktp US*CA9U87J43,Merchandise,107.20,
2021-04-02,2021-04-02,3880,Reverb.com,Merchandise,96.53,
2021-04-02,2021-04-02,3880,Reverb.com,Merchandise,123.31,
2021-04-01,2021-04-02,3880,TARGET        00020800,Merchandise,11.40,
2021-03-28,2021-04-02,3880,HOLIDAY INN EXPRESS DA,Lodging,307.64,
2021-03-31,2021-04-01,3880,WENDYS #0029,Dining,8.21,
2021-03-31,2021-04-01,3880,TARGET        00020800,Merchandise,30.30,

