Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2021-07-31,2021-07-31,3880,CREDIT-CASH BACK REWARD,Payment/Credit,,31.74
2021-07-30,2021-07-31,3880,KUNG POA EXPRESS INC,Dining,7.50,
2021-07-30,2021-07-31,3880,NCDMV REGIS #52 HUNTER,Other Services,185.76,
2021-07-30,2021-07-31,3880,TARGET        00020800,Merchandise,50.27,
2021-07-29,2021-07-31,3880,HOLIDAY INN,Lodging,257.60,
2021-07-30,2021-07-31,3880,7-ELEVEN 38677,Gas/Automotive,15.35,
2021-07-28,2021-07-30,3880,SOUL FIRE BREWING COMP,Dining,7.80,
2021-07-28,2021-07-30,3880,HARD EIGHT LLC - ROANO,Dining,55.31,
2021-07-27,2021-07-29,3880,TROPHY TABLE,Dining,9.04,
2021-07-27,2021-07-28,3880,CHIPOTLE 3548,Dining,13.21,
2021-07-27,2021-07-28,3880,HG SUPPLY CO TROPHY CL,Dining,47.00,
2021-07-26,2021-07-27,3880,FIVE GUYS NC 0211 QSR,Dining,12.21,
2021-07-27,2021-07-27,3880,TIRES.COM-ONLINE-ORDER,Gas/Automotive,734.60,
2021-07-26,2021-07-27,3880,HERTZ #0685814,Car Rental,388.73,
2021-07-26,2021-07-26,3880,UBER   TRIP,Other Travel,43.22,
2021-07-25,2021-07-26,3880,UBER   TRIP,Other Travel,31.93,
2021-07-24,2021-07-26,3880,7-ELEVEN 38677,Gas/Automotive,5.52,
2021-07-24,2021-07-26,3880,SPORT CLIPS - NC111 -,Other Services,27.00,
2021-07-24,2021-07-26,3880,OLD NAVY US 5021,Merchandise,48.25,
2021-07-23,2021-07-24,3880,TARGET        00020800,Merchandise,10.71,
2021-07-21,2021-07-23,3880,EXXONMOBIL    99069593,Gas/Automotive,6.91,
2021-07-21,2021-07-22,3880,HARRIS TEETER #0209,Merchandise,60.00,
2021-07-21,2021-07-22,3880,HARRIS TEETER #0209,Merchandise,11.33,
2021-07-21,2021-07-22,3880,TARGET        00020800,Merchandise,15.54,
2021-07-21,2021-07-22,3880,ENTERPRISE RENT-A-CAR,Car Rental,169.04,
2021-07-20,2021-07-22,3880,SHEETZ 0535   00005355,Gas/Automotive,24.94,
2021-07-20,2021-07-22,3880,HOLIDAY INN EXPRESS DA,Lodging,276.22,
2021-07-20,2021-07-21,3880,ISABEL'S,Dining,10.00,
2021-07-19,2021-07-21,3880,KICKBACK JACKS #36,Dining,17.00,
2021-07-19,2021-07-20,3880,GREAT WALL RESTAURANT,Dining,9.50,
2021-07-18,2021-07-19,3880,EXXONMOBIL    48060065,Gas/Automotive,18.57,
2021-07-18,2021-07-19,3880,VERDE MEXI* VERDE MEXI,Dining,27.78,
2021-07-18,2021-07-19,3880,BP#9642034PIEDMONT QPS,Gas/Automotive,18.01,
2021-07-18,2021-07-19,3880,BP#9642034PIEDMONT QPS,Gas/Automotive,3.98,
2021-07-17,2021-07-19,3880,TONYS PIZZA HUNTERSVIL,Dining,15.00,
2021-07-17,2021-07-17,3880,CREDIT-CASH BACK REWARD,Payment/Credit,,25.87
2021-07-16,2021-07-17,3880,KUNG POA EXPRESS INC,Dining,7.50,
2021-07-16,2021-07-17,3880,MARATHON PETRO202895,Gas/Automotive,25.65,
2021-07-16,2021-07-17,3880,TARGET        00020800,Merchandise,27.34,
2021-07-15,2021-07-16,3880,FIVE GUYS NC 0211 QSR,Dining,9.62,
2021-07-14,2021-07-15,3880,HARRIS TEETER #0209,Merchandise,8.63,
2021-07-13,2021-07-14,3880,YOSHI S GRILL,Dining,17.00,
2021-07-13,2021-07-14,3880,AMZN MKTP US*2E8XB1T41,Merchandise,122.08,
2021-07-12,2021-07-13,3880,PUBLIX #1481,Merchandise,47.65,
2021-07-12,2021-07-13,3880,KUNG POA EXPRESS INC,Dining,7.50,
2021-07-10,2021-07-12,3880,7-ELEVEN 38677,Gas/Automotive,23.56,
2021-07-10,2021-07-12,3880,EXXONMOBIL    96822879,Gas/Automotive,20.11,
2021-07-10,2021-07-12,3880,RALEIGH IMPROV,Dining,29.04,
2021-07-09,2021-07-10,3880,TARGET        00020800,Merchandise,28.11,
2021-07-08,2021-07-09,3880,FIVE GUYS NC 0211 QSR,Dining,9.62,
2021-07-09,2021-07-09,3880,Reverb.com,Merchandise,27.11,
2021-07-07,2021-07-09,3880,ROUTE 58 RACEWAY,Gas/Automotive,21.81,
2021-07-07,2021-07-09,3880,BUOY`S BAR & GRILL,Dining,14.00,
2021-07-07,2021-07-09,3880,HOLIDAY INN EXPRESS DA,Lodging,2.68,
2021-07-07,2021-07-09,3880,HOLIDAY INN EXPRESS DA,Lodging,407.37,
2021-07-06,2021-07-08,3880,KICKBACK JACKS #36,Dining,32.00,
2021-07-07,2021-07-08,3880,TARGET        00020800,Merchandise,17.72,
2021-07-06,2021-07-08,3880,SHEETZ 0306   00003061,Gas/Automotive,5.04,
2021-07-06,2021-07-08,3880,EL VALLARTA,Dining,10.00,
2021-07-05,2021-07-07,3880,JERSEY MIKES 3134,Dining,9.41,
2021-07-05,2021-07-07,3880,CHICK-FIL-A #01890,Dining,10.59,
2021-07-05,2021-07-07,3880,7-ELEVEN 38677,Gas/Automotive,17.23,
2021-07-05,2021-07-07,3880,HOLIDAY INN EXPRESS DA,Lodging,3.20,
2021-07-06,2021-07-06,3880,CAPITAL ONE MOBILE PYMT,Payment/Credit,,1943.76
2021-07-04,2021-07-05,3880,HARRIS TEETER #472,Merchandise,24.35,
2021-07-04,2021-07-05,3880,DOLLAR TREE,Merchandise,1.07,
2021-07-04,2021-07-05,3880,MARATHON PETRO202895,Gas/Automotive,15.77,
2021-07-02,2021-07-03,3880,HARRIS TEETER #0209,Merchandise,6.67,
2021-07-02,2021-07-03,3880,TARGET        00020800,Merchandise,35.15,
2021-06-30,2021-07-02,3880,CHICK-FIL-A #01890,Dining,10.59,
2021-06-30,2021-07-02,3880,HOLIDAY INN DOVER,Lodging,355.72,
2021-06-29,2021-07-01,3880,MCGLYNNS PUB & RESTAUR,Dining,29.00,

