Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2021-10-28,2021-10-30,3880,7-ELEVEN 38677,Gas/Automotive,31.07,
2021-10-28,2021-10-29,3880,TONYS PIZZA HUNTERSVIL,Dining,9.30,
2021-10-28,2021-10-29,3880,TARGET        00020800,Merchandise,19.08,
2021-10-27,2021-10-28,3880,FIVE GUYS NC 0211 QSR,Dining,10.56,
2021-10-26,2021-10-27,3880,HARRIS TEETER #0209,Merchandise,7.69,
2021-10-24,2021-10-25,3880,TARGET        00020800,Merchandise,29.78,
2021-10-23,2021-10-25,3880,MINT MOBILE,Phone/Cable,21.00,
2021-10-22,2021-10-23,3880,HARRIS TEETER #0209,Merchandise,7.55,
2021-10-21,2021-10-22,3880,TARGET        00020800,Merchandise,60.53,
2021-10-20,2021-10-21,3880,MINT MOBILE,Phone/Cable,21.00,
2021-10-20,2021-10-21,3880,YOSHI S GRILL,Dining,16.54,
2021-10-17,2021-10-19,3880,7-ELEVEN 38677,Gas/Automotive,30.35,
2021-10-18,2021-10-18,3880,TST* LITTLE BIG BURGER,Dining,16.03,
2021-10-17,2021-10-18,3880,PUBLIX #1509,Merchandise,68.46,
2021-10-16,2021-10-18,3880,MINT MOBILE,Phone/Cable,21.00,
2021-10-17,2021-10-18,3880,OnlyFans,Other,4.29,
2021-10-17,2021-10-18,3880,OnlyFans,Other,10.73,
2021-10-16,2021-10-18,3880,CHIPOTLE 2939,Dining,10.83,
2021-10-15,2021-10-18,3880,0680 AMC NORTHLAKE MAL,Entertainment,13.50,
2021-10-15,2021-10-18,3880,CHICK-FIL-A #01890,Dining,10.59,
2021-10-15,2021-10-15,3880,CREDIT-CASH BACK REWARD,Payment/Credit,,42.76
2021-10-14,2021-10-15,3880,FIREHOUSE SUBS 0447 QS,Dining,8.44,
2021-10-13,2021-10-14,3880,FIVE GUYS NC 0211 QSR,Dining,9.62,
2021-10-13,2021-10-14,3880,TARGET        00020800,Merchandise,30.13,
2021-10-12,2021-10-13,3880,HARRIS TEETER #0209,Merchandise,10.45,
2021-10-11,2021-10-12,3880,HARRIS TEETER #0209,Merchandise,9.37,
2021-10-11,2021-10-11,3880,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,108.20
2021-10-08,2021-10-11,3880,DA VINCI'S PIZZA,Dining,8.54,
2021-10-09,2021-10-11,3880,CVS/PHARMACY #05445,Health Care,11.00,
2021-10-09,2021-10-11,3880,EXXONMOBIL    48017834,Gas/Automotive,19.57,
2021-10-09,2021-10-11,3880,MCDONALD'S F35403,Dining,7.04,
2021-10-09,2021-10-11,3880,MECKLENBURG ABC #10,Other Services,39.48,
2021-10-10,2021-10-11,3880,TARGET        00020800,Merchandise,52.20,
2021-10-09,2021-10-09,3880,CAPITAL ONE ONLINE PYMT,Payment/Credit,,2341.04
2021-10-08,2021-10-09,3880,SPEEDWAY CHLDNS CHARIT,Other,50.00,
2021-10-08,2021-10-09,3880,OF,Other,5.37,
2021-10-07,2021-10-09,3880,AVENUE RESIDENTIAL CON,Gas/Automotive,11.00,
2021-10-08,2021-10-09,3880,COURSRA9O010A00QSQ0O9,Other,41.83,
2021-10-07,2021-10-08,3880,CHIPOTLE 2939,Dining,12.23,
2021-10-06,2021-10-07,3880,HARRIS TEETER #0209,Merchandise,60.42,
2021-10-05,2021-10-06,3880,HARRIS TEETER #0209,Merchandise,6.45,
2021-10-04,2021-10-05,3880,SPORT CLIPS NC111,Other Services,28.00,
2021-10-04,2021-10-05,3880,KUNG POA EXPRESS INC,Dining,8.57,
2021-10-02,2021-10-04,3880,CHICK-FIL-A #01890,Dining,10.59,
2021-10-02,2021-10-04,3880,MICROSOFT*STORE,Internet,9.99,
2021-10-01,2021-10-02,3880,TARGET        00020800,Merchandise,29.64,
2021-09-30,2021-10-01,3880,FIVE GUYS NC 0211 QSR,Dining,9.62,

