Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2021-11-28,2021-11-30,3880,MIDTOWN GUEST HOUSE,Lodging,286.88,
2021-11-27,2021-11-30,3880,MOE`S FRESHMARKET WATE,Merchandise,53.99,
2021-11-26,2021-11-29,3880,MIDTOWN GUEST HOUSE,Lodging,191.25,
2021-11-26,2021-11-29,3880,GREENHOUSE RESTAURANT,Dining,58.00,
2021-11-27,2021-11-29,3880,GREENGOS CARIBBEAN CAN,Dining,23.06,
2021-11-26,2021-11-29,3880,MOE`S FRESHMARKET WATE,Merchandise,27.98,
2021-11-25,2021-11-27,3880,FRENCH QUARTER BISTRO,Dining,52.00,
2021-11-25,2021-11-26,3880,FORT LAUDERDALE AIRPOR,Dining,10.63,
2021-11-25,2021-11-26,3880,UBER   TRIP,Other Travel,5.79,
2021-11-25,2021-11-26,3880,UBER   TRIP,Other Travel,28.98,
2021-11-24,2021-11-26,3880,CHIPOTLE 2939,Dining,9.74,
2021-11-23,2021-11-24,3880,5GUYS 0500 QSR,Dining,11.25,
2021-11-22,2021-11-24,3880,CHICK-FIL-A #01890,Dining,11.15,
2021-11-23,2021-11-23,3880,CAPITAL ONE MOBILE PYMT,Payment/Credit,,3110.32
2021-11-21,2021-11-22,3880,Amazon.com*FZ86H2QR3,Merchandise,39.46,
2021-11-21,2021-11-22,3880,TARGET        00020800,Merchandise,19.84,
2021-11-20,2021-11-22,3880,REI #115 CHARLOTTE,Merchandise,195.71,
2021-11-20,2021-11-20,3880,CREDIT-CASH BACK REWARD,Payment/Credit,,39.76
2021-11-19,2021-11-20,3880,TARGET        00020800,Merchandise,43.69,
2021-11-19,2021-11-20,3880,ENTERPRISE RENT-A-CAR,Car Rental,208.22,
2021-11-18,2021-11-20,3880,HOLIDAY INN EXPRESS DA,Lodging,531.99,
2021-11-18,2021-11-19,3880,MINT MOBILE,Phone/Cable,71.56,
2021-11-18,2021-11-19,3880,BP#8187650TIMES TA QPS,Gas/Automotive,33.23,
2021-11-17,2021-11-18,3880,MOON RIVER THAI,Dining,12.50,
2021-11-17,2021-11-18,3880,SQ *MUCHO TAQUERIA,Dining,32.00,
2021-11-16,2021-11-17,3880,MES BURGERS N BREWS,Dining,30.46,
2021-11-16,2021-11-17,3880,ISABEL'S,Dining,9.72,
2021-11-15,2021-11-17,3880,KICKBACK JACKS 36,Dining,28.00,
2021-11-15,2021-11-16,3880,FOOD LION #2621,Merchandise,12.63,
2021-11-12,2021-11-15,3880,DA VINCI'S PIZZA,Dining,10.00,
2021-11-13,2021-11-15,3880,CHICK-FIL-A #01890,Dining,11.15,
2021-11-14,2021-11-15,3880,SQ *MUCHO TAQUERIA,Dining,24.00,
2021-11-12,2021-11-15,3880,YOSHI S GRILL,Dining,14.00,
2021-11-13,2021-11-15,3880,MINT MOBILE,Phone/Cable,21.00,
2021-11-12,2021-11-13,3880,HARRIS TEETER #472,Merchandise,29.57,
2021-11-11,2021-11-13,3880,7-ELEVEN 38677,Gas/Automotive,43.88,
2021-11-11,2021-11-12,3880,FIREHOUSE SUBS 0447 QS,Dining,12.00,
2021-11-12,2021-11-12,3880,UBER   TRIP,Other Travel,7.90,
2021-11-12,2021-11-12,3880,UBER   TRIP,Other Travel,8.62,
2021-11-11,2021-11-12,3880,NAPA STORE 1074009,Gas/Automotive,4.28,
2021-11-11,2021-11-12,3880,TARGET        00020800,Merchandise,31.29,
2021-11-11,2021-11-12,3880,AUTO SPECIALTIES,Gas/Automotive,1401.22,
2021-11-11,2021-11-11,3880,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,163.08
2021-11-10,2021-11-11,3880,AMZN Mktp US*CC6B432I3,Merchandise,136.08,
2021-11-09,2021-11-10,3880,CHIPOTLE 2939,Dining,13.86,
2021-11-09,2021-11-10,3880,AMAZON.COM*IH4XW3U03 A,Merchandise,64.34,
2021-11-08,2021-11-10,3880,SPIRIT AI 48702846355220,Airfare,119.66,
2021-11-08,2021-11-10,3880,GALLEON HOUSE,Lodging,99.23,
2021-11-08,2021-11-10,3880,YOSHI S GRILL,Dining,14.91,
2021-11-09,2021-11-09,3880,CREDIT-CASH BACK REWARD,Payment/Credit,,10.50
2021-11-09,2021-11-09,3880,AMERICAN  0012311343824,Airfare,292.16,
2021-11-09,2021-11-09,3880,UBER   TRIP,Other Travel,8.91,
2021-11-09,2021-11-09,3880,UBER   TRIP,Other Travel,9.96,
2021-11-08,2021-11-09,3880,COURSRA9O010A00QSQ0O9,Other,41.83,
2021-11-08,2021-11-08,3880,UBER   EATS,Dining,7.91,
2021-11-07,2021-11-08,3880,MINT MOBILE,Phone/Cable,21.00,
2021-11-07,2021-11-08,3880,UBER* EATS,Dining,35.50,
2021-11-06,2021-11-08,3880,MINT MOBILE,Phone/Cable,21.00,
2021-11-06,2021-11-08,3880,MINT MOBILE,Phone/Cable,10.50,
2021-11-05,2021-11-06,3880,UBER   TRIP,Other Travel,9.97,
2021-11-04,2021-11-05,3880,CHIPOTLE 2939,Dining,12.23,
2021-11-04,2021-11-05,3880,FIVE GUYS NC 0211 QSR,Dining,10.06,
2021-11-03,2021-11-04,3880,HARRIS TEETER #0209,Merchandise,27.99,
2021-11-03,2021-11-04,3880,HARRIS TEETER #0209,Merchandise,7.57,
2021-11-03,2021-11-04,3880,MINT MOBILE,Phone/Cable,21.00,
2021-11-02,2021-11-04,3880,SBARRO 962         Q01,Dining,9.94,
2021-10-31,2021-11-01,3880,TARGET        00020800,Merchandise,42.20,
2021-10-29,2021-11-01,3880,MINT MOBILE,Phone/Cable,21.00,
2021-10-29,2021-11-01,3880,CHICK-FIL-A #01890,Dining,10.59,

